Country,Region,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP,total_ghg
Afghanistan,West & Central Asia,11,17,1,1,5,0,2,37,0,0,4,9,24,26,16,543,622,0,0,0,0,0,5,6,6,101,3,121,1,1,0,0,1,0,0,0,5,0,6,96.59
Albania,Europe,3,10,4,2,44,49,13,125,1,0,13,43,69,66,69,899,1160,0,0,0,0,1,0,2,5,64,2,74,0,0,0,0,0,1,1,0,13,0,15,9.19
Algeria,North Africa,14,14,8,3,40,10,26,115,2,1,15,36,64,55,123,889,1185,2,0,0,1,2,4,8,8,76,6,105,1,1,0,0,0,1,2,1,8,0,12,210.09
Andorra,Europe,2,2,1,0,0,3,4,12,0,0,0,2,10,18,7,271,308,0,0,0,0,0,0,2,5,41,0,48,0,0,0,0,0,0,0,1,3,0,4,0.1
Angola,Sub-Saharan Africa,17,26,5,0,51,5,4,108,0,0,10,32,66,59,228,2395,2790,9,0,0,0,2,5,7,11,240,20,285,21,0,0,0,0,0,0,0,77,22,99,180.12
Anguilla,Caribbean Islands,1,0,8,0,29,0,10,48,0,0,4,11,33,21,68,1010,1147,0,0,0,0,0,0,1,0,18,8,27,0,0,0,0,0,0,0,0,1,0,1,
Antigua and Barbuda,Caribbean Islands,2,1,6,0,29,0,11,49,1,0,6,11,32,26,73,1143,1292,0,0,0,0,0,0,2,0,20,10,32,0,0,0,0,0,0,0,1,1,0,2,1.38
Argentina,South America,37,50,15,30,39,0,14,185,3,3,21,51,113,122,188,1879,2380,84,13,1,0,6,13,16,31,225,82,374,49,24,0,0,2,15,12,9,105,14,157,482.08
Armenia,West & Central Asia,9,15,7,0,3,2,7,43,0,0,5,9,29,37,16,448,544,2,2,0,0,1,3,5,10,67,4,90,0,0,0,0,0,0,0,0,8,0,8,9.46
Aruba,Caribbean Islands,2,1,2,0,23,1,1,30,0,0,2,5,23,19,59,946,1054,0,0,0,0,0,0,3,0,14,9,26,0,0,0,0,0,0,0,0,0,0,?,
Australia,Oceania,63,50,43,47,118,174,340,835,40,0,97,172,566,406,532,3362,5175,247,50,21,0,11,20,26,32,203,36,349,209,48,3,0,15,18,15,9,152,11,223,519.09
Austria,Europe,3,12,1,0,11,43,26,96,3,0,23,26,47,77,61,716,953,0,0,0,0,1,1,2,6,80,0,90,0,0,0,0,0,0,0,1,19,0,20,71.85
Azerbaijan,West & Central Asia,8,18,9,1,12,2,5,55,0,1,13,8,34,42,37,544,679,0,0,0,0,0,2,5,13,79,4,103,0,0,0,0,0,0,0,0,10,0,10,73.98
Bahamas,Caribbean Islands,6,7,8,0,44,1,11,77,2,0,11,16,50,36,127,1504,1746,2,1,1,0,0,3,4,1,21,13,43,1,0,0,0,0,0,0,0,2,1,3,3.97
Bahrain,West & Central Asia,3,6,4,0,10,0,13,36,0,0,2,5,29,53,24,448,561,0,0,0,0,0,0,3,1,7,1,12,0,0,0,0,0,0,0,0,1,0,1,47.07
Bangladesh,South & Southeast Asia,36,33,23,1,27,0,7,127,0,1,15,38,74,82,84,1307,1601,0,0,0,0,3,13,17,9,88,9,139,1,0,0,0,0,0,1,0,30,1,32,209.58
Barbados,Caribbean Islands,3,2,5,0,29,0,11,50,0,0,8,9,33,28,74,1138,1290,0,0,0,0,0,0,3,0,18,10,31,0,0,0,0,0,0,0,0,1,0,1,4.35
Belarus,North Asia,4,9,0,0,2,3,6,24,0,0,2,2,20,39,8,445,516,0,0,0,0,1,1,2,7,60,0,71,0,0,0,0,0,0,0,0,13,0,13,80.7
Belgium,Europe,2,8,0,0,13,6,8,37,1,0,4,5,28,49,38,627,752,0,0,0,0,0,2,1,5,60,2,70,0,0,0,0,0,0,0,0,16,0,16,107.35
Belize,Mesoamerica,9,5,8,5,43,0,12,82,1,0,8,19,55,60,97,1792,2032,0,0,0,0,0,3,4,5,124,14,150,1,0,0,0,1,3,2,6,25,1,38,4.86
Benin,Sub-Saharan Africa,13,10,6,0,38,0,3,70,0,0,8,16,46,44,113,1601,1828,0,0,0,0,0,3,7,6,129,12,157,0,0,0,0,0,0,0,0,21,0,21,26.53
Bermuda,Caribbean Islands,4,1,4,0,26,0,28,63,4,0,27,10,26,22,68,839,996,0,0,0,0,0,4,0,0,12,8,24,0,0,0,0,0,0,0,0,0,0,?,
Bhutan,South & Southeast Asia,26,20,3,1,3,0,1,54,0,0,7,13,34,41,6,686,787,0,0,0,0,1,12,15,12,56,3,99,1,0,0,0,0,0,1,0,5,1,7,-1.82
"Bolivia, Plurinational States of",South America,21,55,6,35,8,2,1,128,0,0,21,27,80,97,130,2096,2451,23,4,0,0,1,8,10,18,301,25,363,72,33,0,0,6,5,28,6,165,20,230,150.94
"Bonaire, Sint Eustatius and Saba",Caribbean Islands,3,1,7,0,31,0,11,53,1,0,5,11,37,19,76,1042,1191,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?,
Bosnia and Herzegovina,Europe,4,8,3,1,35,17,19,87,0,0,6,26,55,55,74,764,980,0,0,0,0,1,0,3,7,67,1,79,0,0,0,0,0,0,1,1,16,0,18,27.25
Botswana,Sub-Saharan Africa,9,13,0,0,2,0,0,24,0,0,4,5,15,30,11,995,1060,0,0,0,0,1,1,4,7,143,1,157,0,0,0,0,0,0,0,0,42,0,42,69.99
Brazil,South America,81,165,29,36,86,22,33,452,9,1,75,121,256,226,672,3909,5269,186,55,3,0,10,31,41,23,436,104,648,534,112,1,0,23,38,55,23,461,197,798,1379.38
British Indian Ocean Territory,South & Southeast Asia,0,0,2,0,12,0,69,83,0,0,1,8,74,106,51,672,912,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,?,
Brunei Darussalam,South & Southeast Asia,33,24,8,3,12,0,8,88,0,0,6,17,65,137,75,918,1218,0,0,0,0,2,7,26,11,75,17,138,0,0,0,0,0,0,3,17,34,1,55,16.8
Bulgaria,Europe,8,18,2,0,22,25,13,88,0,0,12,14,62,73,63,811,1035,0,0,0,0,1,1,5,8,77,2,94,0,0,0,0,0,0,0,1,16,0,17,44.07
Burkina Faso,Sub-Saharan Africa,10,11,3,0,4,1,0,29,0,1,5,6,18,21,3,762,816,0,0,0,1,0,2,6,5,112,2,128,0,0,0,0,0,0,0,0,21,0,21,38.63
Burundi,Sub-Saharan Africa,14,13,0,1,17,4,3,52,0,0,5,15,32,40,35,1040,1167,0,0,0,0,0,2,7,9,117,1,136,2,0,0,0,0,0,6,1,16,3,26,7.74
Cambodia,South & Southeast Asia,38,27,20,5,47,1,78,216,0,0,23,47,146,173,179,1625,2193,1,0,0,0,3,16,18,8,108,11,164,5,0,0,0,0,0,3,2,38,5,48,65.43
Cameroon,Sub-Saharan Africa,44,26,12,56,119,11,16,284,0,0,51,108,125,82,219,2543,3128,16,14,0,0,4,16,21,10,251,33,335,58,38,0,0,7,31,15,10,122,14,199,208.38
Canada,North America,14,15,6,1,43,5,20,104,8,0,10,24,70,55,98,1547,1812,5,1,0,0,1,7,4,4,171,15,202,0,0,0,0,0,0,1,2,43,0,46,779.27
Cape Verde,Sub-Saharan Africa,4,5,6,0,34,12,1,62,1,0,5,21,36,30,102,840,1035,0,0,0,0,0,2,1,0,11,11,25,0,0,0,0,0,0,0,0,0,0,?,0.93
Central African Republic,Sub-Saharan Africa,14,14,4,0,3,0,0,35,0,0,8,5,22,24,48,1348,1455,2,0,0,0,1,2,4,10,190,12,219,2,0,0,0,0,0,0,0,59,3,62,75.73
Chad,Sub-Saharan Africa,14,13,4,0,1,4,0,36,0,1,11,5,20,20,12,810,879,0,0,0,1,3,2,7,5,103,2,123,4,0,0,0,0,0,0,0,13,4,17,101.97
Chile,South America,19,33,7,27,25,1,12,124,1,0,18,30,76,75,231,1042,1473,19,5,0,0,4,8,9,10,81,31,143,41,17,0,0,9,4,8,4,13,20,58,3.74
China,East Asia,74,89,43,88,133,15,61,503,4,1,80,142,281,233,930,3225,4896,87,17,0,1,11,29,34,32,392,52,551,217,85,1,0,8,34,50,32,142,69,333,11576.87
Colombia,South America,54,119,32,215,96,4,48,568,1,0,95,175,298,229,646,4527,5971,39,9,1,0,5,14,33,15,316,58,442,349,162,0,0,52,80,82,46,330,124,714,232
Comoros,Sub-Saharan Africa,5,10,5,0,9,0,73,102,0,0,7,16,79,110,83,869,1164,4,2,0,0,0,2,3,1,11,10,27,0,0,0,0,0,0,0,0,0,0,?,0.6
Congo,Sub-Saharan Africa,17,5,4,0,55,5,2,88,0,0,8,19,61,41,159,1911,2199,3,0,0,0,2,3,6,8,159,19,197,0,0,0,0,0,0,0,0,57,2,59,49.77
Congo (Democratic Republic),Sub-Saharan Africa,36,37,7,10,93,43,10,236,0,0,29,70,137,89,439,3467,4231,26,4,0,0,3,11,15,20,336,45,430,54,4,0,0,0,3,10,2,150,50,215,224.84
Cook Islands,Oceania,1,15,3,0,12,0,32,63,15,0,0,9,54,52,60,694,884,0,0,0,0,0,1,0,0,10,9,20,0,0,0,0,0,0,0,0,0,0,?,0.11
Costa Rica,Mesoamerica,10,23,12,61,60,1,30,197,3,0,30,55,112,104,237,2879,3420,5,0,0,0,0,3,5,10,189,20,227,47,27,3,0,22,23,14,10,97,17,186,4.63
Cote d'Ivoire,Sub-Saharan Africa,30,20,7,14,57,3,3,134,0,0,14,34,86,101,153,1975,2363,1,1,0,0,1,8,15,15,187,26,252,6,4,0,0,2,5,6,16,56,5,90,31.17
Croatia,Europe,9,15,4,2,64,45,23,162,1,0,27,39,96,72,109,1017,1361,0,0,0,0,1,1,5,8,79,1,95,0,0,0,0,0,0,2,1,17,0,20,18.94
Cuba,Caribbean Islands,12,17,16,49,44,0,23,161,7,0,34,50,77,53,128,1504,1853,21,12,6,0,5,5,4,4,31,10,65,59,49,0,0,16,24,9,2,9,1,61,27.24
Curacao,Caribbean Islands,3,1,4,0,28,0,11,47,0,0,5,9,33,18,74,939,1078,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?,
Cyprus,West & Central Asia,6,7,5,0,24,1,11,54,0,0,4,21,29,33,60,617,764,1,0,0,0,1,1,3,1,25,0,31,0,0,0,0,0,0,0,0,3,0,3,8.26
Czech Republic,Europe,3,10,0,0,2,6,18,39,0,0,3,7,29,53,38,600,730,0,0,0,0,0,1,1,7,68,1,78,0,0,0,0,0,0,0,1,20,0,21,111.77
Denmark,Europe,2,7,0,0,18,5,10,42,0,0,5,8,29,44,33,619,738,0,0,0,0,0,1,1,4,54,5,65,0,0,0,0,0,0,0,0,14,0,14,46.66
Djibouti,Sub-Saharan Africa,8,11,1,0,18,1,56,95,0,0,4,12,79,130,98,964,1287,0,0,0,0,0,2,6,7,58,12,85,0,0,0,0,0,0,0,0,6,0,6,2.08
Dominica,Caribbean Islands,3,4,4,2,29,0,11,53,1,0,6,14,33,26,79,1150,1309,0,0,0,0,0,0,3,0,21,10,34,1,1,0,0,1,1,0,1,1,0,4,0.38
Dominican Republic,Caribbean Islands,6,14,14,32,29,0,16,111,9,0,19,36,56,49,85,1268,1522,1,0,8,0,0,3,3,2,25,8,49,11,10,0,0,10,15,5,1,5,0,36,28.9
Ecuador,South America,45,98,38,175,59,49,21,485,8,1,88,139,258,188,383,3012,4077,34,14,3,0,1,10,32,20,263,43,372,171,106,2,0,36,72,63,22,203,69,467,98.59
Egypt,North Africa,19,14,12,0,51,0,56,152,1,1,5,27,120,142,143,1354,1793,5,0,0,1,2,3,12,4,73,10,105,1,0,0,0,0,0,0,0,9,0,9,310.42
El Salvador,Mesoamerica,6,6,10,10,15,0,10,57,0,0,4,18,35,49,97,1420,1623,0,0,0,0,0,3,2,7,136,14,162,0,0,0,0,3,5,2,1,21,0,32,13.48
Equatorial Guinea,Sub-Saharan Africa,24,7,7,5,42,0,5,90,0,0,9,29,52,39,123,1545,1797,3,3,0,0,3,7,8,7,139,10,174,1,0,0,0,0,4,0,1,64,1,70,23.22
Eritrea,Sub-Saharan Africa,11,18,6,0,23,1,57,116,0,0,9,14,93,142,103,1197,1558,0,0,0,0,1,2,6,3,87,5,104,1,0,0,0,0,0,0,0,16,1,17,7.96
Estonia,Europe,1,8,0,0,5,3,3,20,0,0,2,3,15,30,8,472,530,0,0,0,0,0,1,0,4,57,0,62,0,0,0,0,0,0,0,0,10,0,10,20.38
Ethiopia,Sub-Saharan Africa,33,32,2,12,14,4,11,108,0,0,18,33,57,41,63,1322,1534,33,18,0,0,3,12,16,12,214,14,271,26,9,0,0,0,4,5,2,44,8,63,188.66
Faroe Islands,Europe,4,4,0,0,12,0,0,20,1,0,2,4,14,12,22,264,319,0,0,0,0,0,4,1,0,10,3,18,0,0,0,0,0,0,0,0,0,0,?,
Fiji,Oceania,6,12,15,1,18,68,97,217,1,0,26,41,150,157,123,1159,1657,1,1,0,0,1,3,2,1,10,10,27,2,1,0,0,0,1,0,1,0,0,2,0.96
Finland,Europe,2,9,0,0,6,3,7,27,0,0,3,4,20,39,14,492,572,0,0,0,0,0,1,0,4,57,0,62,0,0,0,0,0,0,0,0,4,0,4,63.16
France,Europe,9,13,5,2,52,91,46,218,7,0,25,48,145,133,274,1617,2249,0,0,1,0,1,4,4,10,91,12,123,3,0,0,0,0,1,1,5,28,0,35,329.6
French Polynesia,Oceania,0,32,3,0,28,34,31,128,72,11,35,23,70,65,105,817,1198,0,0,0,0,0,1,0,0,9,9,19,0,0,0,0,0,0,0,0,0,0,?,
Gabon,Sub-Saharan Africa,20,6,5,3,71,0,3,108,0,0,9,30,69,39,178,1901,2226,2,1,0,0,1,3,9,8,146,15,182,4,1,0,0,1,2,0,0,79,5,87,-84.96
Gambia,Sub-Saharan Africa,9,12,5,0,34,0,2,62,0,0,8,13,41,43,120,1449,1674,0,0,0,0,0,3,6,4,111,9,133,0,0,0,0,0,0,0,0,23,0,23,2.4
Georgia,West & Central Asia,9,15,7,1,11,4,11,58,0,0,7,10,41,46,21,560,685,0,0,0,0,1,4,5,12,79,1,102,0,0,0,0,0,0,1,0,11,0,12,17.23
Germany,Europe,5,11,0,0,24,31,26,97,4,0,15,25,57,83,82,819,1085,0,0,0,0,2,3,1,8,81,6,101,0,0,0,0,0,0,0,0,21,0,21,808.73
Ghana,Sub-Saharan Africa,20,20,7,11,56,0,5,119,0,0,12,29,78,81,144,2047,2391,1,0,0,0,0,5,12,13,204,23,257,4,1,0,0,1,5,4,9,54,3,76,51.04
Greece,Europe,11,16,9,5,80,65,116,302,1,0,59,90,153,125,216,1270,1914,1,1,0,0,1,2,7,6,81,4,101,3,3,0,0,0,3,2,0,17,0,22,86.36
Greenland,Europe,9,3,0,0,9,0,0,21,1,0,1,7,13,11,21,196,250,0,0,0,0,0,3,3,2,20,4,32,0,0,0,0,0,0,0,0,0,0,?,
Grenada,Caribbean Islands,4,1,6,1,28,0,10,50,0,0,6,12,32,23,77,1085,1235,0,0,0,0,0,1,2,0,21,10,34,1,1,0,0,0,1,0,0,2,0,3,2.32
Guatemala,Mesoamerica,15,14,32,80,35,2,11,189,1,0,38,64,87,87,157,2369,2803,3,1,0,0,1,6,9,12,176,16,220,40,31,0,0,32,28,20,11,38,11,140,43.79
Guinea,Sub-Saharan Africa,25,19,8,5,75,1,6,139,0,0,15,33,91,96,176,1943,2354,2,2,0,0,1,7,14,15,169,17,223,5,1,0,0,1,3,1,13,46,10,74,45.6
Guinea-Bissau,Sub-Saharan Africa,14,10,7,0,39,0,2,72,0,0,7,15,50,48,120,1444,1684,0,0,0,0,0,3,8,5,97,10,123,0,0,0,0,0,0,0,0,15,0,15,4.21
Guyana,South America,11,14,5,5,31,0,1,67,0,0,6,11,50,58,124,1986,2235,0,0,0,0,0,1,7,6,194,27,235,27,4,0,0,0,0,7,0,101,17,125,37.42
Haiti,Caribbean Islands,5,14,15,49,30,0,14,127,10,0,39,35,53,50,82,1239,1508,2,0,9,0,0,3,2,2,24,9,49,26,26,0,0,31,10,5,0,4,0,50,10.04
Honduras,Mesoamerica,7,11,40,56,42,0,21,177,3,0,44,56,77,85,169,2594,3028,3,1,2,0,0,3,3,10,176,18,212,45,39,2,0,31,24,4,7,54,3,125,51.48
