Country,Latitude,Longitude,Major Group,Postal,Animalia_Subtotal,Chromist_Subtotal,Extinct_Animalia_Subtotal,Extinct_Chromist_Subtotal,Extinct_Fungus_Subtotal,Extinct_Plant_Subtotal,Extinct_Total,Fungus_Subtotal,Normalized_Extinct_Total,Normalized_Threatened_Total,Normalized_Total,Pivot Field Values,Plant_Subtotal,Threatened_Animalia_Subtotal,Threatened_Chromist_Subtotal,Threatened_Fungus_Subtotal,Threatened_Plant_Subtotal,Threatened_Total,Threatened_Total 1,Total
Ã…land Islands,,,Threatened_Amphibians,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Birds,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Chromists,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Fishes,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Fungi,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Mammals,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Molluscs,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Other_Inverts,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Plants,AX,15,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,1,1,1,28
Ã…land Islands,,,Threatened_Reptiles,AX,15,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,1,28
Afghanistan,,,Threatened_Amphibians,AF,661,0,0,0,0,0,0,2,0,0.013333333,0.07979249,1,334,36,0,0,5,41,41,997
Afghanistan,,,Threatened_Birds,AF,661,0,0,0,0,0,0,2,0,0.013333333,0.07979249,16,334,36,0,0,5,41,41,997
Afghanistan,,,Threatened_Chromists,AF,661,0,0,0,0,0,0,2,0,0.013333333,0.07979249,0,334,36,0,0,5,41,41,997
Afghanistan,,,Threatened_Fishes,AF,661,0,0,0,0,0,0,2,0,0.013333333,0.07979249,4,334,36,0,0,5,41,41,997
